VideoCategory,AdLikability,IDQuestion_1,IDQuestion_2,IDQuestion_3,IDQuestion_4,IdentificationAvg,NarrativenessScore
MOST,4,5,5,5,5,5.0,3.888777778
LEAST,4,4,4,4,4,4.0,1.0
LEAST_MEDIUM,3,4,4,4,4,4.0,2.055555556
MOST,5,4,5,3,5,4.25,3.888777778
MEDIUM_MOST,4,4,5,5,3,4.25,3.055555444
LEAST_MEDIUM,4,3,3,3,3,3.0,2.055555556
LEAST,3,4,4,4,4,4.0,1.0
MEDIUM_MOST,4,6,6,6,6,6.0,3.055555444
LEAST,3,2,2,2,2,2.0,1.0
MOST,4,2,2,2,2,2.0,3.888777778
MEDIUM_MOST,4,5,4,4,4,4.25,3.055555444
LEAST,3,4,4,5,5,4.5,1.0
LEAST,4,2,2,1,1,1.5,1.0
LEAST,3,4,4,4,4,4.0,1.0
LEAST_MEDIUM,4,5,5,5,4,4.75,2.055555556
MEDIUM_MOST,4,5,6,6,4,5.25,3.055555444
MEDIUM_MOST,4,5,4,5,4,4.5,3.055555444
MOST,4,5,5,4,4,4.5,3.888777778
LEAST_MEDIUM,3,2,2,2,2,2.0,2.055555556
LEAST_MEDIUM,4,6,6,6,3,5.25,2.055555556
LEAST,2,1,1,1,1,1.0,1.0
LEAST_MEDIUM,1,2,2,2,2,2.0,2.055555556
LEAST,2,4,4,4,4,4.0,1.0
MOST,4,5,4,5,5,4.75,3.888777778
MEDIUM_MOST,2,4,4,4,4,4.0,3.055555444
MEDIUM_MOST,5,3,6,6,6,5.25,3.055555444
MEDIUM_MOST,3,5,6,6,6,5.75,3.055555444
LEAST_MEDIUM,3,5,3,4,2,3.5,2.055555556
MEDIUM_MOST,4,5,5,5,5,5.0,3.055555444
MOST,2,2,2,3,2,2.25,3.888777778
MOST,4,5,5,6,5,5.25,3.888777778
LEAST_MEDIUM,3,2,3,1,1,1.75,2.055555556
MEDIUM_MOST,4,5,5,5,4,4.75,3.055555444
LEAST_MEDIUM,4,7,6,7,6,6.5,2.055555556
LEAST,3,2,2,2,1,1.75,1.0
MEDIUM_MOST,4,4,5,4,4,4.25,3.055555444
LEAST,2,2,2,2,2,2.0,1.0
LEAST_MEDIUM,4,6,5,5,4,5.0,2.055555556
MOST,4,4,4,3,3,3.5,3.888777778
LEAST,1,1,1,1,1,1.0,1.0
MOST,4,4,4,4,4,4.0,3.888777778
LEAST,3,2,2,2,2,2.0,1.0
LEAST,2,1,1,1,1,1.0,1.0
MOST,4,4,5,5,4,4.5,3.888777778
LEAST_MEDIUM,5,4,4,4,4,4.0,2.055555556
MOST,5,7,7,7,7,7.0,3.888777778
MEDIUM_MOST,4,5,5,5,5,5.0,3.055555444
MOST,4,6,6,5,4,5.25,3.888777778
LEAST,2,2,2,2,2,2.0,1.0
LEAST,5,7,7,7,7,7.0,1.0
MEDIUM_MOST,4,6,6,6,5,5.75,3.055555444
MEDIUM_MOST,2,3,5,3,4,3.75,3.055555444
LEAST_MEDIUM,3,4,3,5,3,3.75,2.055555556
MOST,2,2,3,2,4,2.75,3.888777778
LEAST_MEDIUM,4,1,1,1,1,1.0,2.055555556
MEDIUM_MOST,2,3,4,3,3,3.25,3.055555444
MEDIUM_MOST,4,6,5,5,5,5.25,3.055555444
LEAST_MEDIUM,5,5,5,5,5,5.0,2.055555556
MOST,1,1,1,1,1,1.0,3.888777778
LEAST,1,1,7,1,7,4.0,1.0
LEAST_MEDIUM,3,4,4,4,4,4.0,2.055555556
MOST,3,4,2,2,2,2.5,3.888777778
LEAST_MEDIUM,5,7,7,7,7,7.0,2.055555556
MOST,2,1,1,1,1,1.0,3.888777778
LEAST,3,4,3,3,3,3.25,1.0
MEDIUM_MOST,4,6,6,6,6,6.0,3.055555444
LEAST_MEDIUM,1,1,1,1,1,1.0,2.055555556
MOST,4,6,6,5,5,5.5,3.888777778
MEDIUM_MOST,4,2,2,2,2,2.0,3.055555444
LEAST_MEDIUM,3,2,3,2,4,2.75,2.055555556
MOST,4,5,5,5,5,5.0,3.888777778
LEAST_MEDIUM,2,3,3,2,4,3.0,2.055555556
MOST,4,6,6,6,6,6.0,3.888777778
LEAST_MEDIUM,5,6,7,7,7,6.75,2.055555556
LEAST,5,2,3,2,2,2.25,1.0
MOST,4,5,4,5,4,4.5,3.888777778
MEDIUM_MOST,4,5,5,5,5,5.0,3.055555444
LEAST,2,2,2,2,2,2.0,1.0
MEDIUM_MOST,4,5,5,5,2,4.25,3.055555444
MOST,3,4,4,5,4,4.25,3.888777778
LEAST,4,2,2,2,2,2.0,1.0
LEAST_MEDIUM,4,5,4,4,4,4.25,2.055555556
MEDIUM_MOST,4,6,6,6,5,5.75,3.055555444
LEAST_MEDIUM,4,5,5,6,3,4.75,2.055555556
LEAST_MEDIUM,3,4,6,5,5,5.0,2.055555556
LEAST,2,1,2,1,1,1.25,1.0
LEAST_MEDIUM,4,3,5,4,6,4.5,2.055555556
MOST,4,5,6,4,6,5.25,3.888777778
LEAST,2,5,5,6,6,5.5,1.0
MOST,2,2,2,2,2,2.0,3.888777778
LEAST_MEDIUM,4,4,4,4,4,4.0,2.055555556
LEAST,3,2,2,2,2,2.0,1.0
MOST,4,3,3,3,1,2.5,3.888777778
LEAST,2,1,1,1,1,1.0,1.0
MOST,5,6,7,5,6,6.0,3.888777778
LEAST,2,4,4,4,4,4.0,1.0
LEAST_MEDIUM,3,1,4,4,4,3.25,2.055555556
LEAST_MEDIUM,5,6,6,6,5,5.75,2.055555556
MEDIUM_MOST,4,5,6,5,4,5.0,3.055555444
MOST,3,3,3,3,3,3.0,3.888777778
LEAST_MEDIUM,5,6,6,5,5,5.5,2.055555556
LEAST,3,5,5,6,4,5.0,1.0
MEDIUM_MOST,4,2,5,5,5,4.25,3.055555444
LEAST,2,2,2,2,1,1.75,1.0
MEDIUM_MOST,4,3,5,4,2,3.5,3.055555444
LEAST_MEDIUM,5,3,4,4,4,3.75,2.055555556
LEAST_MEDIUM,2,4,4,4,4,4.0,2.055555556
MOST,4,5,5,5,5,5.0,3.888777778
LEAST,2,3,2,2,2,2.25,1.0
LEAST_MEDIUM,2,1,1,1,1,1.0,2.055555556
MOST,2,1,1,1,1,1.0,3.888777778
MEDIUM_MOST,3,4,4,1,1,2.5,3.055555444
LEAST_MEDIUM,4,4,5,5,4,4.5,2.055555556
LEAST_MEDIUM,4,4,3,3,2,3.0,2.055555556
MEDIUM_MOST,3,3,3,3,3,3.0,3.055555444
MOST,4,5,4,3,1,3.25,3.888777778
MOST,4,6,6,6,6,6.0,3.888777778
LEAST,4,4,4,4,4,4.0,1.0
MEDIUM_MOST,4,5,4,5,5,4.75,3.055555444
LEAST,4,2,2,2,2,2.0,1.0
LEAST_MEDIUM,1,1,1,1,1,1.0,2.055555556
MOST,4,4,3,3,2,3.0,3.888777778
LEAST,2,2,2,2,1,1.75,1.0
LEAST_MEDIUM,5,3,5,5,4,4.25,2.055555556
MOST,4,6,6,6,6,6.0,3.888777778
MEDIUM_MOST,4,5,6,6,5,5.5,3.055555444
MOST,4,6,4,4,4,4.5,3.888777778
LEAST_MEDIUM,4,4,6,5,5,5.0,2.055555556
MEDIUM_MOST,4,5,5,6,5,5.25,3.055555444
MOST,4,5,4,4,4,4.25,3.888777778
LEAST_MEDIUM,4,4,4,5,2,3.75,2.055555556
LEAST,4,4,3,4,2,3.25,1.0
LEAST_MEDIUM,4,5,4,5,3,4.25,2.055555556
MEDIUM_MOST,3,3,3,3,3,3.0,3.055555444
MOST,3,4,1,2,2,2.25,3.888777778
LEAST,4,1,1,1,1,1.0,1.0
MEDIUM_MOST,5,4,5,5,5,4.75,3.055555444
MOST,4,4,4,4,4,4.0,3.888777778
LEAST,3,4,4,4,4,4.0,1.0
MEDIUM_MOST,4,5,6,6,6,5.75,3.055555444
LEAST,4,4,4,4,4,4.0,1.0
MEDIUM_MOST,3,2,3,2,3,2.5,3.055555444
LEAST,4,2,2,2,2,2.0,1.0
MOST,4,3,5,2,3,3.25,3.888777778
MEDIUM_MOST,1,1,1,1,1,1.0,3.055555444
LEAST_MEDIUM,3,4,6,6,4,5.0,2.055555556
MEDIUM_MOST,4,5,4,4,4,4.25,3.055555444
MOST,3,3,4,4,4,3.75,3.888777778
LEAST_MEDIUM,3,4,4,4,4,4.0,2.055555556
MEDIUM_MOST,4,5,6,6,5,5.5,3.055555444
LEAST,1,1,1,1,1,1.0,1.0
MOST,4,5,3,2,1,2.75,3.888777778
LEAST_MEDIUM,4,5,5,5,6,5.25,2.055555556
LEAST_MEDIUM,4,5,4,4,4,4.25,2.055555556
LEAST,3,5,6,2,4,4.25,1.0
MOST,3,2,2,2,2,2.0,3.888777778
LEAST_MEDIUM,4,6,6,6,4,5.5,2.055555556
LEAST,4,1,1,1,1,1.0,1.0
MOST,1,1,1,1,1,1.0,3.888777778
LEAST,3,4,4,4,4,4.0,1.0
LEAST,2,4,4,4,4,4.0,1.0
MEDIUM_MOST,4,3,2,2,2,2.25,3.055555444
LEAST,4,1,1,1,1,1.0,1.0
MEDIUM_MOST,4,5,5,4,4,4.5,3.055555444
MEDIUM_MOST,3,4,5,5,4,4.5,3.055555444
MEDIUM_MOST,3,2,4,4,2,3.0,3.055555444
MOST,3,4,4,4,4,4.0,3.888777778
MEDIUM_MOST,4,5,5,5,4,4.75,3.055555444
MOST,4,3,3,3,2,2.75,3.888777778
MOST,4,4,4,4,4,4.0,3.888777778
MEDIUM_MOST,4,6,5,5,5,5.25,3.055555444
MOST,2,5,5,5,5,5.0,3.888777778
LEAST_MEDIUM,2,3,2,2,1,2.0,2.055555556
MEDIUM_MOST,3,2,2,2,2,2.0,3.055555444
LEAST_MEDIUM,2,2,2,2,2,2.0,2.055555556
MOST,4,6,6,6,6,6.0,3.888777778
MOST,4,4,5,3,2,3.5,3.888777778
MEDIUM_MOST,2,4,2,2,2,2.5,3.055555444
MOST,5,5,5,6,5,5.25,3.888777778
LEAST_MEDIUM,4,6,6,6,4,5.5,2.055555556
LEAST,4,5,4,4,4,4.25,1.0
LEAST,2,1,2,1,1,1.25,1.0
MEDIUM_MOST,4,5,5,5,3,4.5,3.055555444
LEAST,2,4,5,5,3,4.25,1.0
MOST,3,2,2,3,2,2.25,3.888777778
MEDIUM_MOST,4,3,2,2,2,2.25,3.055555444
MOST,3,2,1,2,1,1.5,3.888777778
LEAST_MEDIUM,3,2,2,2,2,2.0,2.055555556
LEAST,3,5,4,4,4,4.25,1.0
LEAST_MEDIUM,4,4,2,2,2,2.5,2.055555556
LEAST,3,4,4,4,4,4.0,1.0
LEAST,3,5,3,2,2,3.0,1.0
MOST,3,3,2,2,2,2.25,3.888777778
LEAST,2,4,4,4,4,4.0,1.0
LEAST_MEDIUM,4,3,5,3,3,3.5,2.055555556
MOST,3,2,2,2,1,1.75,3.888777778
MOST,4,4,4,4,4,4.0,3.888777778
MOST,4,5,5,6,6,5.5,3.888777778
MOST,5,4,5,5,2,4.0,3.888777778
LEAST_MEDIUM,3,3,3,3,2,2.75,2.055555556
MOST,5,7,7,7,7,7.0,3.888777778
LEAST,3,4,4,4,4,4.0,1.0
MEDIUM_MOST,3,5,5,5,5,5.0,3.055555444
LEAST_MEDIUM,3,5,4,2,2,3.25,2.055555556
LEAST_MEDIUM,4,5,5,5,5,5.0,2.055555556
MEDIUM_MOST,4,6,6,6,6,6.0,3.055555444
MEDIUM_MOST,4,3,3,3,2,2.75,3.055555444
LEAST_MEDIUM,3,3,2,3,3,2.75,2.055555556
MEDIUM_MOST,4,3,2,3,3,2.75,3.055555444
LEAST,2,1,4,4,4,3.25,1.0
LEAST_MEDIUM,2,4,4,3,3,3.5,2.055555556
LEAST,4,5,5,4,2,4.0,1.0
MOST,4,4,3,2,2,2.75,3.888777778
MOST,4,4,5,4,4,4.25,3.888777778
LEAST_MEDIUM,4,5,3,5,3,4.0,2.055555556
LEAST,3,4,2,2,2,2.5,1.0
MOST,3,2,2,5,4,3.25,3.888777778
LEAST,2,3,3,1,1,2.0,1.0
MEDIUM_MOST,4,2,2,1,1,1.5,3.055555444
LEAST,4,5,4,5,5,4.75,1.0
LEAST,2,4,4,4,1,3.25,1.0
MOST,3,4,4,4,4,4.0,3.888777778
MEDIUM_MOST,1,1,1,1,1,1.0,3.055555444
LEAST_MEDIUM,1,7,1,1,7,4.0,2.055555556
MOST,3,4,4,4,4,4.0,3.888777778
LEAST_MEDIUM,4,4,5,3,3,3.75,2.055555556
MEDIUM_MOST,5,7,7,7,7,7.0,3.055555444
LEAST,3,1,1,1,1,1.0,1.0
MOST,3,6,3,3,3,3.75,3.888777778
LEAST_MEDIUM,4,4,5,5,5,4.75,2.055555556
MEDIUM_MOST,3,4,4,4,3,3.75,3.055555444
LEAST,4,4,4,5,5,4.5,1.0
MOST,4,2,2,2,2,2.0,3.888777778
LEAST,3,3,3,3,2,2.75,1.0
LEAST,4,6,4,4,4,4.5,1.0
MEDIUM_MOST,4,5,4,3,5,4.25,3.055555444
MEDIUM_MOST,4,6,6,6,6,6.0,3.055555444
LEAST,2,3,4,2,2,2.75,1.0
MEDIUM_MOST,3,2,1,3,4,2.5,3.055555444
LEAST_MEDIUM,5,3,3,4,3,3.25,2.055555556
LEAST_MEDIUM,4,3,3,3,3,3.0,2.055555556
MOST,3,2,2,2,2,2.0,3.888777778
LEAST_MEDIUM,3,2,2,2,2,2.0,2.055555556
LEAST,3,1,1,1,1,1.0,1.0
MOST,3,2,1,1,3,1.75,3.888777778
MEDIUM_MOST,4,5,4,5,4,4.5,3.055555444
LEAST,4,5,5,6,3,4.75,1.0
MOST,2,2,2,2,2,2.0,3.888777778
MOST,2,1,1,1,1,1.0,3.888777778
MEDIUM_MOST,4,5,5,5,5,5.0,3.055555444
LEAST,3,5,4,4,4,4.25,1.0
MEDIUM_MOST,4,6,5,6,6,5.75,3.055555444
MOST,4,5,3,3,4,3.75,3.888777778
MEDIUM_MOST,4,2,5,4,3,3.5,3.055555444
LEAST,4,4,4,4,4,4.0,1.0
MEDIUM_MOST,3,2,5,5,5,4.25,3.055555444
LEAST_MEDIUM,4,4,1,1,1,1.75,2.055555556
MEDIUM_MOST,4,4,5,5,4,4.5,3.055555444
LEAST,4,6,5,5,5,5.25,1.0
MEDIUM_MOST,4,2,2,3,2,2.25,3.055555444
MOST,3,5,1,1,6,3.25,3.888777778
LEAST,4,6,6,2,2,4.0,1.0
LEAST,4,5,5,5,5,5.0,1.0
MEDIUM_MOST,3,5,5,5,5,5.0,3.055555444
LEAST,3,5,4,6,4,4.75,1.0
LEAST_MEDIUM,2,2,2,3,1,2.0,2.055555556
MOST,3,4,5,2,3,3.5,3.888777778
MOST,4,5,4,5,4,4.5,3.888777778
LEAST_MEDIUM,4,5,4,3,2,3.5,2.055555556
MEDIUM_MOST,5,4,4,4,4,4.0,3.055555444
MEDIUM_MOST,3,2,2,3,2,2.25,3.055555444
MEDIUM_MOST,3,6,5,5,5,5.25,3.055555444
LEAST_MEDIUM,5,5,5,4,4,4.5,2.055555556
LEAST,1,1,1,1,1,1.0,1.0
MEDIUM_MOST,4,2,2,2,2,2.0,3.055555444
LEAST,3,4,4,4,4,4.0,1.0
MEDIUM_MOST,2,5,1,1,2,2.25,3.055555444
LEAST,4,5,3,1,2,2.75,1.0
MOST,2,2,2,2,2,2.0,3.888777778
MEDIUM_MOST,3,3,4,4,1,3.0,3.055555444
LEAST_MEDIUM,3,5,5,3,2,3.75,2.055555556
LEAST_MEDIUM,2,1,2,2,2,1.75,2.055555556
MOST,3,1,1,1,1,1.0,3.888777778
MOST,4,5,5,5,2,4.25,3.888777778
LEAST,1,1,1,1,1,1.0,1.0
MEDIUM_MOST,4,4,2,2,3,2.75,3.055555444
MOST,4,4,5,5,3,4.25,3.888777778
MEDIUM_MOST,4,5,6,6,5,5.5,3.055555444
LEAST,4,2,2,2,2,2.0,1.0
LEAST_MEDIUM,4,6,6,6,4,5.5,2.055555556
LEAST,2,5,4,4,4,4.25,1.0
MOST,4,5,6,2,3,4.0,3.888777778
LEAST,3,3,4,1,1,2.25,1.0
MEDIUM_MOST,3,5,3,3,2,3.25,3.055555444
MOST,3,3,4,4,3,3.5,3.888777778
LEAST_MEDIUM,3,5,4,5,5,4.75,2.055555556
MEDIUM_MOST,4,2,3,3,2,2.5,3.055555444
LEAST_MEDIUM,4,5,5,5,4,4.75,2.055555556
MEDIUM_MOST,3,4,3,4,2,3.25,3.055555444
LEAST_MEDIUM,1,1,1,2,1,1.25,2.055555556
MOST,3,2,3,2,3,2.5,3.888777778
LEAST,4,4,4,4,4,4.0,1.0
LEAST_MEDIUM,3,4,4,4,4,4.0,2.055555556
MOST,3,2,2,2,5,2.75,3.888777778
LEAST_MEDIUM,5,5,5,3,3,4.0,2.055555556
LEAST_MEDIUM,4,6,5,6,6,5.75,2.055555556
MOST,3,2,2,2,2,2.0,3.888777778
LEAST_MEDIUM,3,2,2,2,2,2.0,2.055555556
LEAST,2,6,2,3,3,3.5,1.0
MEDIUM_MOST,4,4,3,3,5,3.75,3.055555444
MOST,3,4,4,2,2,3.0,3.888777778
MEDIUM_MOST,4,5,4,5,5,4.75,3.055555444
LEAST,2,4,4,4,4,4.0,1.0
LEAST_MEDIUM,3,3,2,2,2,2.25,2.055555556
LEAST_MEDIUM,3,2,5,5,4,4.0,2.055555556
MEDIUM_MOST,4,5,2,3,1,2.75,3.055555444
LEAST,2,2,2,1,2,1.75,1.0
MEDIUM_MOST,3,5,4,2,4,3.75,3.055555444
LEAST_MEDIUM,5,6,5,6,4,5.25,2.055555556
MEDIUM_MOST,3,3,1,1,2,1.75,3.055555444
MEDIUM_MOST,4,2,3,2,4,2.75,3.055555444
LEAST_MEDIUM,3,5,5,5,4,4.75,2.055555556
LEAST_MEDIUM,2,2,1,1,1,1.25,2.055555556
MEDIUM_MOST,4,6,6,6,6,6.0,3.055555444
MOST,3,5,5,3,4,4.25,3.888777778
MOST,4,4,5,5,4,4.5,3.888777778
